TransactionID,PassengerName,FlightNumber,DepartureAirport,ArrivalAirport,DepartureDate,ArrivalDate,TicketPrice,BookingDate,Status,LastVisited
16,John Doe,BA456,JFK,DXB,2023-01-01 15:00:00,2023-01-02 15:00:00,773.13,2022-01-01 15:00:00,Paid,2023-01-01 00:15:00
17,Bob Brown,AA123,LAX,CDG,2023-01-01 16:00:00,2023-01-02 16:00:00,390.84,2022-01-01 16:00:00,Paid,2023-01-01 00:16:00
18,Bob Brown,BA456,LAX,CDG,2023-01-01 17:00:00,2023-01-02 17:00:00,819.05,2022-01-01 17:00:00,Paid,2023-01-01 00:17:00
19,Bob Brown,DL789,LAX,LHR,2023-01-01 18:00:00,2023-01-02 18:00:00,646.88,2022-01-01 18:00:00,Pending,2023-01-01 00:18:00
20,Alice Johnson,BA456,ORD,CDG,2023-01-01 19:00:00,2023-01-02 19:00:00,385.38,2022-01-01 19:00:00,Success,2023-01-01 00:19:00
21,Jane Smith,UA321,JFK,DXB,2023-01-01 20:00:00,2023-01-02 20:00:00,420.66,2022-01-01 20:00:00,Paid,2023-01-01 00:20:00
22,John Doe,DL789,LAX,LHR,2023-01-01 21:00:00,2023-01-02 21:00:00,758.36,2022-01-01 21:00:00,Success,2023-01-01 00:21:00
23,Jane Smith,BA456,ATL,CDG,2023-01-01 22:00:00,2023-01-02 22:00:00,595.05,2022-01-01 22:00:00,Pending,2023-01-01 00:22:00
24,Bob Brown,AA123,LAX,DXB,2023-01-01 23:00:00,2023-01-02 23:00:00,701.52,2022-01-01 23:00:00,Paid,2023-01-01 00:23:00
25,Bob Brown,AA123,JFK,DXB,2023-01-02 00:00:00,2023-01-03 00:00:00,242.49,2022-01-02 00:00:00,Success,2023-01-01 00:24:00
26,Jane Smith,DL789,ORD,LHR,2023-01-02 01:00:00,2023-01-03 01:00:00,808.28,2022-01-02 01:00:00,Pending,2023-01-01 00:25:00
27,Jane Smith,AA123,JFK,DXB,2023-01-02 02:00:00,2023-01-03 02:00:00,388.35,2022-01-02 02:00:00,Paid,2023-01-01 00:26:00
28,Jane Smith,DL789,ORD,LHR,2023-01-02 03:00:00,2023-01-03 03:00:00,657.88,2022-01-02 03:00:00,Success,2023-01-01 00:27:00
29,Bob Brown,DL789,JFK,DXB,2023-01-02 04:00:00,2023-01-03 04:00:00,203.21,2022-01-02 04:00:00,Success,2023-01-01 00:28:00
30,Bob Brown,DL789,JFK,CDG,2023-01-02 05:00:00,2023-01-03 05:00:00,389.28,2022-01-02 05:00:00,Pending,2023-01-01 00:29:00
31,John Doe,BA456,ATL,LHR,2023-01-02 06:00:00,2023-01-03 06:00:00,683.98,2022-01-02 06:00:00,Paid,2023-01-01 00:30:00
32,John Doe,DL789,LAX,DXB,2023-01-02 07:00:00,2023-01-03 07:00:00,346.79,2022-01-02 07:00:00,Success,2023-01-01 00:31:00
33,Bob Brown,AA123,LAX,LHR,2023-01-02 08:00:00,2023-01-03 08:00:00,892.28,2022-01-02 08:00:00,Paid,2023-01-01 00:32:00
34,Jane Smith,UA321,JFK,DXB,2023-01-02 09:00:00,2023-01-03 09:00:00,695.11,2022-01-02 09:00:00,Pending,2023-01-01 00:33:00
35,Jane Smith,BA456,LAX,LHR,2023-01-02 10:00:00,2023-01-03 10:00:00,883.25,2022-01-02 10:00:00,Success,2023-01-01 00:34:00
36,John Doe,AA123,ATL,CDG,2023-01-02 11:00:00,2023-01-03 11:00:00,455.85,2022-01-02 11:00:00,Paid,2023-01-01 00:35:00
37,Bob Brown,DL789,JFK,LHR,2023-01-02 12:00:00,2023-01-03 12:00:00,130.59,2022-01-02 12:00:00,Success,2023-01-01 00:36:00
38,John Doe,DL789,LAX,LHR,2023-01-02 13:00:00,2023-01-03 13:00:00,618.53,2022-01-02 13:00:00,Paid,2023-01-01 00:37:00
39,John Doe,UA321,LAX,CDG,2023-01-02 14:00:00,2023-01-03 14:00:00,405.27,2022-01-02 14:00:00,Success,2023-01-01 00:38:00
40,Alice Johnson,AA123,ORD,DXB,2023-01-02 15:00:00,2023-01-03 15:00:00,503.37,2022-01-02 15:00:00,Pending,2023-01-01 00:39:00
41,Alice Johnson,BA456,LAX,HND,2023-01-02 16:00:00,2023-01-03 16:00:00,713.0,2022-01-02 16:00:00,Paid,2023-01-01 00:40:00
42,Alice Johnson,AA123,LAX,CDG,2023-01-02 17:00:00,2023-01-03 17:00:00,730.6,2022-01-02 17:00:00,Paid,2023-01-01 00:41:00
43,Jane Smith,DL789,ORD,LHR,2023-01-02 18:00:00,2023-01-03 18:00:00,124.8,2022-01-02 18:00:00,Success,2023-01-01 00:42:00
44,Bob Brown,BA456,JFK,CDG,2023-01-02 19:00:00,2023-01-03 19:00:00,792.37,2022-01-02 19:00:00,Pending,2023-01-01 00:43:00
45,Bob Brown,DL789,JFK,CDG,2023-01-02 20:00:00,2023-01-03 20:00:00,544.17,2022-01-02 20:00:00,Pending,2023-01-01 00:44:00
46,Bob Brown,DL789,ATL,LHR,2023-01-02 21:00:00,2023-01-03 21:00:00,601.03,2022-01-02 21:00:00,Paid,2023-01-01 00:45:00
47,Bob Brown,AA123,ORD,LHR,2023-01-02 22:00:00,2023-01-03 22:00:00,368.19,2022-01-02 22:00:00,Pending,2023-01-01 00:46:00
48,Alice Johnson,UA321,JFK,HND,2023-01-02 23:00:00,2023-01-03 23:00:00,478.75,2022-01-02 23:00:00,Pending,2023-01-01 00:47:00
49,Jane Smith,DL789,LAX,CDG,2023-01-03 00:00:00,2023-01-04 00:00:00,739.34,2022-01-03 00:00:00,Success,2023-01-01 00:48:00
50,Jane Smith,AA123,LAX,LHR,2023-01-03 01:00:00,2023-01-04 01:00:00,799.04,2022-01-03 01:00:00,Pending,2023-01-01 00:49:00
51,Alice Johnson,BA456,LAX,DXB,2023-01-03 02:00:00,2023-01-04 02:00:00,448.4,2022-01-03 02:00:00,Pending,2023-01-01 00:50:00
52,Jane Smith,UA321,ATL,DXB,2023-01-03 03:00:00,2023-01-04 03:00:00,722.01,2022-01-03 03:00:00,Success,2023-01-01 00:51:00
53,Alice Johnson,DL789,JFK,DXB,2023-01-03 04:00:00,2023-01-04 04:00:00,332.24,2022-01-03 04:00:00,Paid,2023-01-01 00:52:00
54,Bob Brown,DL789,ORD,DXB,2023-01-03 05:00:00,2023-01-04 05:00:00,848.82,2022-01-03 05:00:00,Success,2023-01-01 00:53:00
55,Alice Johnson,BA456,JFK,CDG,2023-01-03 06:00:00,2023-01-04 06:00:00,648.83,2022-01-03 06:00:00,Paid,2023-01-01 00:54:00
56,Bob Brown,AA123,ORD,CDG,2023-01-03 07:00:00,2023-01-04 07:00:00,797.67,2022-01-03 07:00:00,Success,2023-01-01 00:55:00
57,Bob Brown,DL789,ORD,HND,2023-01-03 08:00:00,2023-01-04 08:00:00,529.44,2022-01-03 08:00:00,Paid,2023-01-01 00:56:00
58,John Doe,BA456,JFK,CDG,2023-01-03 09:00:00,2023-01-04 09:00:00,306.2,2022-01-03 09:00:00,Paid,2023-01-01 00:57:00
59,Alice Johnson,DL789,LAX,LHR,2023-01-03 10:00:00,2023-01-04 10:00:00,486.31,2022-01-03 10:00:00,Paid,2023-01-01 00:58:00
60,John Doe,AA123,LAX,HND,2023-01-03 11:00:00,2023-01-04 11:00:00,443.34,2022-01-03 11:00:00,Success,2023-01-01 00:59:00
61,Alice Johnson,UA321,ORD,CDG,2023-01-03 12:00:00,2023-01-04 12:00:00,399.44,2022-01-03 12:00:00,Paid,2023-01-01 01:00:00
62,Alice Johnson,AA123,LAX,CDG,2023-01-03 13:00:00,2023-01-04 13:00:00,290.96,2022-01-03 13:00:00,Success,2023-01-01 01:01:00
63,John Doe,AA123,ATL,LHR,2023-01-03 14:00:00,2023-01-04 14:00:00,783.25,2022-01-03 14:00:00,Paid,2023-01-01 01:02:00
64,John Doe,AA123,ATL,LHR,2023-01-03 15:00:00,2023-01-04 15:00:00,177.72,2022-01-03 15:00:00,Pending,2023-01-01 01:03:00
65,Alice Johnson,BA456,ORD,LHR,2023-01-03 16:00:00,2023-01-04 16:00:00,898.8,2022-01-03 16:00:00,Paid,2023-01-01 01:04:00
66,Jane Smith,DL789,LAX,DXB,2023-01-03 17:00:00,2023-01-04 17:00:00,257.52,2022-01-03 17:00:00,Paid,2023-01-01 01:05:00
67,Bob Brown,UA321,ORD,CDG,2023-01-03 18:00:00,2023-01-04 18:00:00,981.89,2022-01-03 18:00:00,Success,2023-01-01 01:06:00
68,John Doe,BA456,ATL,CDG,2023-01-03 19:00:00,2023-01-04 19:00:00,989.62,2022-01-03 19:00:00,Paid,2023-01-01 01:07:00
69,Bob Brown,AA123,ATL,CDG,2023-01-03 20:00:00,2023-01-04 20:00:00,458.55,2022-01-03 20:00:00,Success,2023-01-01 01:08:00
70,Jane Smith,UA321,ATL,HND,2023-01-03 21:00:00,2023-01-04 21:00:00,989.04,2022-01-03 21:00:00,Paid,2023-01-01 01:09:00
71,Jane Smith,AA123,JFK,HND,2023-01-03 22:00:00,2023-01-04 22:00:00,882.16,2022-01-03 22:00:00,Success,2023-01-01 01:10:00
72,Jane Smith,AA123,ATL,HND,2023-01-03 23:00:00,2023-01-04 23:00:00,174.19,2022-01-03 23:00:00,Pending,2023-01-01 01:11:00
73,John Doe,AA123,LAX,HND,2023-01-04 00:00:00,2023-01-05 00:00:00,952.6,2022-01-04 00:00:00,Success,2023-01-01 01:12:00
74,Jane Smith,UA321,JFK,HND,2023-01-04 01:00:00,2023-01-05 01:00:00,138.26,2022-01-04 01:00:00,Pending,2023-01-01 01:13:00
75,John Doe,DL789,ATL,LHR,2023-01-04 02:00:00,2023-01-05 02:00:00,263.72,2022-01-04 02:00:00,Pending,2023-01-01 01:14:00
76,Jane Smith,AA123,LAX,HND,2023-01-04 03:00:00,2023-01-05 03:00:00,626.14,2022-01-04 03:00:00,Success,2023-01-01 01:15:00
77,Bob Brown,DL789,ATL,CDG,2023-01-04 04:00:00,2023-01-05 04:00:00,172.66,2022-01-04 04:00:00,Pending,2023-01-01 01:16:00
78,Bob Brown,UA321,LAX,DXB,2023-01-04 05:00:00,2023-01-05 05:00:00,245.55,2022-01-04 05:00:00,Paid,2023-01-01 01:17:00
79,Alice Johnson,UA321,LAX,CDG,2023-01-04 06:00:00,2023-01-05 06:00:00,958.14,2022-01-04 06:00:00,Pending,2023-01-01 01:18:00
80,Bob Brown,AA123,ATL,CDG,2023-01-04 07:00:00,2023-01-05 07:00:00,995.22,2022-01-04 07:00:00,Paid,2023-01-01 01:19:00
81,Alice Johnson,DL789,ATL,LHR,2023-01-04 08:00:00,2023-01-05 08:00:00,818.32,2022-01-04 08:00:00,Paid,2023-01-01 01:20:00
82,Bob Brown,DL789,JFK,DXB,2023-01-04 09:00:00,2023-01-05 09:00:00,563.69,2022-01-04 09:00:00,Paid,2023-01-01 01:21:00
83,John Doe,AA123,ATL,CDG,2023-01-04 10:00:00,2023-01-05 10:00:00,910.27,2022-01-04 10:00:00,Pending,2023-01-01 01:22:00
84,Bob Brown,BA456,LAX,LHR,2023-01-04 11:00:00,2023-01-05 11:00:00,200.71,2022-01-04 11:00:00,Pending,2023-01-01 01:23:00
85,Alice Johnson,BA456,ORD,DXB,2023-01-04 12:00:00,2023-01-05 12:00:00,948.6,2022-01-04 12:00:00,Success,2023-01-01 01:24:00
86,Alice Johnson,UA321,JFK,DXB,2023-01-04 13:00:00,2023-01-05 13:00:00,416.4,2022-01-04 13:00:00,Success,2023-01-01 01:25:00
87,Jane Smith,UA321,LAX,LHR,2023-01-04 14:00:00,2023-01-05 14:00:00,875.34,2022-01-04 14:00:00,Paid,2023-01-01 01:26:00
88,John Doe,BA456,LAX,HND,2023-01-04 15:00:00,2023-01-05 15:00:00,701.54,2022-01-04 15:00:00,Success,2023-01-01 01:27:00
89,Bob Brown,BA456,ORD,LHR,2023-01-04 16:00:00,2023-01-05 16:00:00,964.25,2022-01-04 16:00:00,Pending,2023-01-01 01:28:00
90,Jane Smith,BA456,ATL,LHR,2023-01-04 17:00:00,2023-01-05 17:00:00,878.21,2022-01-04 17:00:00,Paid,2023-01-01 01:29:00
91,Bob Brown,AA123,LAX,HND,2023-01-04 18:00:00,2023-01-05 18:00:00,899.11,2022-01-04 18:00:00,Paid,2023-01-01 01:30:00
92,Bob Brown,AA123,ORD,LHR,2023-01-04 19:00:00,2023-01-05 19:00:00,668.58,2022-01-04 19:00:00,Pending,2023-01-01 01:31:00
93,Jane Smith,AA123,ORD,LHR,2023-01-04 20:00:00,2023-01-05 20:00:00,849.84,2022-01-04 20:00:00,Paid,2023-01-01 01:32:00
94,Jane Smith,AA123,ATL,LHR,2023-01-04 21:00:00,2023-01-05 21:00:00,781.42,2022-01-04 21:00:00,Success,2023-01-01 01:33:00
95,Jane Smith,AA123,ORD,CDG,2023-01-04 22:00:00,2023-01-05 22:00:00,245.46,2022-01-04 22:00:00,Pending,2023-01-01 01:34:00
96,Jane Smith,AA123,ORD,LHR,2023-01-04 23:00:00,2023-01-05 23:00:00,683.74,2022-01-04 23:00:00,Success,2023-01-01 01:35:00
97,Jane Smith,UA321,ORD,LHR,2023-01-05 00:00:00,2023-01-06 00:00:00,233.36,2022-01-05 00:00:00,Paid,2023-01-01 01:36:00
98,Bob Brown,DL789,ORD,DXB,2023-01-05 01:00:00,2023-01-06 01:00:00,882.51,2022-01-05 01:00:00,Success,2023-01-01 01:37:00
99,Jane Smith,UA321,ORD,DXB,2023-01-05 02:00:00,2023-01-06 02:00:00,159.35,2022-01-05 02:00:00,Success,2023-01-01 01:38:00
100,John Doe,DL789,ORD,DXB,2023-01-05 03:00:00,2023-01-06 03:00:00,988.34,2022-01-05 03:00:00,Pending,2023-01-01 01:39:00
101,Alice Johnson,UA321,LAX,LHR,2023-01-05 04:00:00,2023-01-06 04:00:00,460.56,2022-01-05 04:00:00,Paid,2023-01-01 01:40:00
102,Jane Smith,UA321,JFK,HND,2023-01-05 05:00:00,2023-01-06 05:00:00,253.57,2022-01-05 05:00:00,Pending,2023-01-01 01:41:00
103,Jane Smith,AA123,ATL,LHR,2023-01-05 06:00:00,2023-01-06 06:00:00,942.11,2022-01-05 06:00:00,Success,2023-01-01 01:42:00
104,Bob Brown,AA123,JFK,CDG,2023-01-05 07:00:00,2023-01-06 07:00:00,140.88,2022-01-05 07:00:00,Paid,2023-01-01 01:43:00
105,Jane Smith,DL789,ATL,CDG,2023-01-05 08:00:00,2023-01-06 08:00:00,523.1,2022-01-05 08:00:00,Paid,2023-01-01 01:44:00
106,Jane Smith,DL789,JFK,CDG,2023-01-05 09:00:00,2023-01-06 09:00:00,793.2,2022-01-05 09:00:00,Paid,2023-01-01 01:45:00
107,Jane Smith,AA123,ATL,CDG,2023-01-05 10:00:00,2023-01-06 10:00:00,385.08,2022-01-05 10:00:00,Paid,2023-01-01 01:46:00
108,Bob Brown,UA321,ORD,LHR,2023-01-05 11:00:00,2023-01-06 11:00:00,575.95,2022-01-05 11:00:00,Success,2023-01-01 01:47:00
109,Jane Smith,DL789,JFK,DXB,2023-01-05 12:00:00,2023-01-06 12:00:00,730.37,2022-01-05 12:00:00,Pending,2023-01-01 01:48:00
110,Alice Johnson,BA456,JFK,LHR,2023-01-05 13:00:00,2023-01-06 13:00:00,956.78,2022-01-05 13:00:00,Success,2023-01-01 01:49:00
111,Bob Brown,BA456,ATL,LHR,2023-01-05 14:00:00,2023-01-06 14:00:00,192.43,2022-01-05 14:00:00,Success,2023-01-01 01:50:00
112,Alice Johnson,BA456,ATL,LHR,2023-01-05 15:00:00,2023-01-06 15:00:00,241.5,2022-01-05 15:00:00,Paid,2023-01-01 01:51:00
113,Bob Brown,DL789,LAX,LHR,2023-01-05 16:00:00,2023-01-06 16:00:00,557.98,2022-01-05 16:00:00,Pending,2023-01-01 01:52:00
114,Jane Smith,AA123,ORD,HND,2023-01-05 17:00:00,2023-01-06 17:00:00,476.63,2022-01-05 17:00:00,Paid,2023-01-01 01:53:00
115,Alice Johnson,AA123,ORD,DXB,2023-01-05 18:00:00,2023-01-06 18:00:00,469.72,2022-01-05 18:00:00,Success,2023-01-01 01:54:00
116,Bob Brown,AA123,LAX,DXB,2023-01-05 19:00:00,2023-01-06 19:00:00,367.27,2022-01-05 19:00:00,Success,2023-01-01 01:55:00
117,John Doe,DL789,ATL,CDG,2023-01-05 20:00:00,2023-01-06 20:00:00,604.62,2022-01-05 20:00:00,Pending,2023-01-01 01:56:00
118,Jane Smith,DL789,ORD,LHR,2023-01-05 21:00:00,2023-01-06 21:00:00,894.96,2022-01-05 21:00:00,Pending,2023-01-01 01:57:00
119,Bob Brown,BA456,ATL,CDG,2023-01-05 22:00:00,2023-01-06 22:00:00,244.83,2022-01-05 22:00:00,Success,2023-01-01 01:58:00
120,John Doe,DL789,ORD,DXB,2023-01-05 23:00:00,2023-01-06 23:00:00,293.76,2022-01-05 23:00:00,Paid,2023-01-01 01:59:00
121,Bob Brown,BA456,JFK,DXB,2023-01-06 00:00:00,2023-01-07 00:00:00,703.74,2022-01-06 00:00:00,Pending,2023-01-01 02:00:00
122,John Doe,BA456,JFK,CDG,2023-01-06 01:00:00,2023-01-07 01:00:00,150.58,2022-01-06 01:00:00,Paid,2023-01-01 02:01:00
123,Jane Smith,AA123,ORD,DXB,2023-01-06 02:00:00,2023-01-07 02:00:00,706.39,2022-01-06 02:00:00,Success,2023-01-01 02:02:00
124,Alice Johnson,DL789,ORD,DXB,2023-01-06 03:00:00,2023-01-07 03:00:00,383.01,2022-01-06 03:00:00,Success,2023-01-01 02:03:00
125,John Doe,AA123,ORD,HND,2023-01-06 04:00:00,2023-01-07 04:00:00,422.07,2022-01-06 04:00:00,Pending,2023-01-01 02:04:00
126,Bob Brown,AA123,LAX,LHR,2023-01-06 05:00:00,2023-01-07 05:00:00,464.99,2022-01-06 05:00:00,Pending,2023-01-01 02:05:00
127,Jane Smith,DL789,ORD,LHR,2023-01-06 06:00:00,2023-01-07 06:00:00,414.63,2022-01-06 06:00:00,Paid,2023-01-01 02:06:00
128,John Doe,DL789,LAX,DXB,2023-01-06 07:00:00,2023-01-07 07:00:00,857.09,2022-01-06 07:00:00,Success,2023-01-01 02:07:00
129,Bob Brown,UA321,LAX,DXB,2023-01-06 08:00:00,2023-01-07 08:00:00,951.46,2022-01-06 08:00:00,Paid,2023-01-01 02:08:00
130,Bob Brown,BA456,JFK,HND,2023-01-06 09:00:00,2023-01-07 09:00:00,593.21,2022-01-06 09:00:00,Pending,2023-01-01 02:09:00
131,Bob Brown,UA321,ORD,CDG,2023-01-06 10:00:00,2023-01-07 10:00:00,623.69,2022-01-06 10:00:00,Success,2023-01-01 02:10:00
132,John Doe,BA456,JFK,HND,2023-01-06 11:00:00,2023-01-07 11:00:00,163.43,2022-01-06 11:00:00,Pending,2023-01-01 02:11:00
133,John Doe,BA456,JFK,HND,2023-01-06 12:00:00,2023-01-07 12:00:00,741.87,2022-01-06 12:00:00,Success,2023-01-01 02:12:00
134,John Doe,BA456,LAX,CDG,2023-01-06 13:00:00,2023-01-07 13:00:00,625.69,2022-01-06 13:00:00,Paid,2023-01-01 02:13:00
135,Alice Johnson,AA123,ATL,DXB,2023-01-06 14:00:00,2023-01-07 14:00:00,145.36,2022-01-06 14:00:00,Success,2023-01-01 02:14:00
136,John Doe,AA123,LAX,LHR,2023-01-06 15:00:00,2023-01-07 15:00:00,278.58,2022-01-06 15:00:00,Paid,2023-01-01 02:15:00
137,John Doe,DL789,JFK,HND,2023-01-06 16:00:00,2023-01-07 16:00:00,281.75,2022-01-06 16:00:00,Pending,2023-01-01 02:16:00
138,John Doe,BA456,LAX,HND,2023-01-06 17:00:00,2023-01-07 17:00:00,253.87,2022-01-06 17:00:00,Success,2023-01-01 02:17:00
139,Alice Johnson,BA456,LAX,LHR,2023-01-06 18:00:00,2023-01-07 18:00:00,692.78,2022-01-06 18:00:00,Pending,2023-01-01 02:18:00
140,John Doe,BA456,LAX,HND,2023-01-06 19:00:00,2023-01-07 19:00:00,935.6,2022-01-06 19:00:00,Paid,2023-01-01 02:19:00
141,Bob Brown,AA123,ORD,CDG,2023-01-06 20:00:00,2023-01-07 20:00:00,786.68,2022-01-06 20:00:00,Success,2023-01-01 02:20:00
142,John Doe,DL789,LAX,LHR,2023-01-06 21:00:00,2023-01-07 21:00:00,529.64,2022-01-06 21:00:00,Pending,2023-01-01 02:21:00
143,Bob Brown,AA123,JFK,LHR,2023-01-06 22:00:00,2023-01-07 22:00:00,463.65,2022-01-06 22:00:00,Paid,2023-01-01 02:22:00
144,Bob Brown,UA321,LAX,CDG,2023-01-06 23:00:00,2023-01-07 23:00:00,447.81,2022-01-06 23:00:00,Success,2023-01-01 02:23:00
145,Bob Brown,UA321,ORD,CDG,2023-01-07 00:00:00,2023-01-08 00:00:00,641.12,2022-01-07 00:00:00,Success,2023-01-01 02:24:00
146,Alice Johnson,UA321,JFK,LHR,2023-01-07 01:00:00,2023-01-08 01:00:00,423.3,2022-01-07 01:00:00,Success,2023-01-01 02:25:00
147,Alice Johnson,DL789,LAX,CDG,2023-01-07 02:00:00,2023-01-08 02:00:00,303.51,2022-01-07 02:00:00,Pending,2023-01-01 02:26:00
148,Alice Johnson,UA321,JFK,HND,2023-01-07 03:00:00,2023-01-08 03:00:00,642.56,2022-01-07 03:00:00,Success,2023-01-01 02:27:00
149,John Doe,DL789,ORD,DXB,2023-01-07 04:00:00,2023-01-08 04:00:00,451.63,2022-01-07 04:00:00,Paid,2023-01-01 02:28:00
150,Bob Brown,AA123,ATL,HND,2023-01-07 05:00:00,2023-01-08 05:00:00,112.71,2022-01-07 05:00:00,Paid,2023-01-01 02:29:00
151,Alice Johnson,AA123,ORD,CDG,2023-01-07 06:00:00,2023-01-08 06:00:00,120.01,2022-01-07 06:00:00,Pending,2023-01-01 02:30:00
152,Alice Johnson,DL789,ORD,HND,2023-01-07 07:00:00,2023-01-08 07:00:00,346.72,2022-01-07 07:00:00,Success,2023-01-01 02:31:00
153,John Doe,AA123,JFK,DXB,2023-01-07 08:00:00,2023-01-08 08:00:00,561.18,2022-01-07 08:00:00,Paid,2023-01-01 02:32:00
154,Alice Johnson,AA123,JFK,DXB,2023-01-07 09:00:00,2023-01-08 09:00:00,418.82,2022-01-07 09:00:00,Paid,2023-01-01 02:33:00
155,John Doe,DL789,ATL,DXB,2023-01-07 10:00:00,2023-01-08 10:00:00,121.65,2022-01-07 10:00:00,Success,2023-01-01 02:34:00
156,Jane Smith,UA321,ATL,CDG,2023-01-07 11:00:00,2023-01-08 11:00:00,300.84,2022-01-07 11:00:00,Paid,2023-01-01 02:35:00
157,Alice Johnson,DL789,ATL,CDG,2023-01-07 12:00:00,2023-01-08 12:00:00,186.78,2022-01-07 12:00:00,Success,2023-01-01 02:36:00
158,Jane Smith,BA456,ORD,CDG,2023-01-07 13:00:00,2023-01-08 13:00:00,953.77,2022-01-07 13:00:00,Paid,2023-01-01 02:37:00
159,John Doe,AA123,ORD,DXB,2023-01-07 14:00:00,2023-01-08 14:00:00,381.55,2022-01-07 14:00:00,Pending,2023-01-01 02:38:00
160,Bob Brown,DL789,ATL,CDG,2023-01-07 15:00:00,2023-01-08 15:00:00,113.29,2022-01-07 15:00:00,Pending,2023-01-01 02:39:00
161,Alice Johnson,AA123,ATL,LHR,2023-01-07 16:00:00,2023-01-08 16:00:00,694.51,2022-01-07 16:00:00,Pending,2023-01-01 02:40:00
162,John Doe,UA321,ATL,HND,2023-01-07 17:00:00,2023-01-08 17:00:00,309.2,2022-01-07 17:00:00,Pending,2023-01-01 02:41:00
163,Bob Brown,AA123,LAX,HND,2023-01-07 18:00:00,2023-01-08 18:00:00,610.06,2022-01-07 18:00:00,Paid,2023-01-01 02:42:00
164,Bob Brown,DL789,LAX,LHR,2023-01-07 19:00:00,2023-01-08 19:00:00,235.67,2022-01-07 19:00:00,Paid,2023-01-01 02:43:00
165,Jane Smith,UA321,ATL,CDG,2023-01-07 20:00:00,2023-01-08 20:00:00,985.61,2022-01-07 20:00:00,Success,2023-01-01 02:44:00
166,John Doe,UA321,ORD,HND,2023-01-07 21:00:00,2023-01-08 21:00:00,973.23,2022-01-07 21:00:00,Paid,2023-01-01 02:45:00
167,Bob Brown,UA321,JFK,DXB,2023-01-07 22:00:00,2023-01-08 22:00:00,690.39,2022-01-07 22:00:00,Pending,2023-01-01 02:46:00
168,Alice Johnson,BA456,ORD,HND,2023-01-07 23:00:00,2023-01-08 23:00:00,736.48,2022-01-07 23:00:00,Pending,2023-01-01 02:47:00
169,Alice Johnson,DL789,JFK,HND,2023-01-08 00:00:00,2023-01-09 00:00:00,483.29,2022-01-08 00:00:00,Success,2023-01-01 02:48:00
170,Jane Smith,DL789,ATL,HND,2023-01-08 01:00:00,2023-01-09 01:00:00,965.96,2022-01-08 01:00:00,Success,2023-01-01 02:49:00
171,Bob Brown,UA321,LAX,CDG,2023-01-08 02:00:00,2023-01-09 02:00:00,481.37,2022-01-08 02:00:00,Success,2023-01-01 02:50:00
172,John Doe,AA123,LAX,LHR,2023-01-08 03:00:00,2023-01-09 03:00:00,315.52,2022-01-08 03:00:00,Success,2023-01-01 02:51:00
